#UbUs_1-2023-06-21-Wed-21-47-18.hdf5 sztau_sz0
#iter    ineq        tausus          value 
stat-001    1         12.99      0.0350583 
stat-001    1         13.02      0.0350202 
stat-001    1         13.05      0.0349824 
stat-001    1         13.08      0.0349453 
stat-001    1         13.11      0.0349086 
stat-001    1         13.14      0.0348718 
stat-001    1         13.17      0.0348363 
stat-001    1          13.2      0.0348002 
stat-001    1         13.23      0.0347626 
stat-001    1         13.26      0.0347271 
stat-001    1         13.29      0.0346937 
stat-001    1         13.32      0.0346627 
stat-001    1         13.35      0.0346315 
stat-001    1         13.38      0.0346016 
stat-001    1         13.41      0.0345731 
stat-001    1         13.44      0.0345455 
stat-001    1         13.47      0.0345193 
stat-001    1          13.5      0.0344938 
stat-001    1         13.53      0.0344687 
stat-001    1         13.56       0.034445 
stat-001    1         13.59      0.0344214 
stat-001    1         13.62      0.0343967 
stat-001    1         13.65      0.0343732 
stat-001    1         13.68      0.0343518 
stat-001    1         13.71      0.0343312 
stat-001    1         13.74      0.0343112 
stat-001    1         13.77      0.0342914 
stat-001    1          13.8      0.0342723 
stat-001    1         13.83      0.0342534 
stat-001    1         13.86      0.0342339 
stat-001    1         13.89      0.0342131 
stat-001    1         13.92       0.034193 
stat-001    1         13.95      0.0341741 
stat-001    1         13.98      0.0341544 
stat-001    1         14.01      0.0341352 
stat-001    1         14.04      0.0341169 
stat-001    1         14.07      0.0341001 
stat-001    1          14.1      0.0340802 
stat-001    1         14.13      0.0340594 
stat-001    1         14.16      0.0340395 
stat-001    1         14.19      0.0340203 
stat-001    1         14.22      0.0340002 
stat-001    1         14.25      0.0339813 
stat-001    1         14.28       0.033962 
stat-001    1         14.31      0.0339433 
stat-001    1         14.34      0.0339269 
stat-001    1         14.37      0.0339118 
stat-001    1          14.4      0.0338978 
stat-001    1         14.43      0.0338846 
stat-001    1         14.46      0.0338716 
stat-001    1         14.49      0.0338604 
stat-001    1         14.52      0.0338506 
stat-001    1         14.55      0.0338409 
stat-001    1         14.58      0.0338318 
stat-001    1         14.61      0.0338226 
stat-001    1         14.64      0.0338132 
stat-001    1         14.67      0.0338031 
stat-001    1          14.7      0.0337945 
stat-001    1         14.73      0.0337868 
stat-001    1         14.76       0.033779 
stat-001    1         14.79      0.0337717 
stat-001    1         14.82      0.0337632 
stat-001    1         14.85      0.0337576 
stat-001    1         14.88      0.0337534 
stat-001    1         14.91      0.0337493 
stat-001    1         14.94      0.0337485 
stat-001    1         14.97      0.0337485 
stat-001    1            15      0.0337477 
stat-001    1         15.03      0.0337485 
stat-001    1         15.06      0.0337485 
stat-001    1         15.09      0.0337493 
stat-001    1         15.12      0.0337534 
stat-001    1         15.15      0.0337576 
stat-001    1         15.18      0.0337632 
stat-001    1         15.21      0.0337717 
stat-001    1         15.24       0.033779 
stat-001    1         15.27      0.0337868 
stat-001    1          15.3      0.0337945 
stat-001    1         15.33      0.0338031 
stat-001    1         15.36      0.0338132 
stat-001    1         15.39      0.0338226 
stat-001    1         15.42      0.0338318 
stat-001    1         15.45      0.0338409 
stat-001    1         15.48      0.0338506 
stat-001    1         15.51      0.0338604 
stat-001    1         15.54      0.0338716 
